title_id,title_type,primary_title,original_title,year,runtime_minutes,genres,country
tt0000009,short,Miss Jerry,Miss Jerry,1894,40,"Romance,Short",USA
tt0000574,movie,The Story of the Kelly Gang,The Story of the Kelly Gang,1906,70,"Action,Adventure,Biography",Australia
tt0001892,movie,Den sorte drøm,Den sorte drøm,1911,53,Drama,"Germany, Denmark"
tt0002101,movie,Cleopatra,Cleopatra,1912,100,"Drama,History",USA
tt0002130,movie,Dante's Inferno,L'Inferno,1911,71,"Adventure,Drama,Fantasy",Italy
tt0002199,movie,"From the Manger to the Cross; or, Jesus of Nazareth","From the Manger to the Cross; or, Jesus of Nazareth",1912,60,"Biography,Drama",USA
tt0002423,movie,Passion,Madame DuBarry,1919,85,"Biography,Drama,Romance",Germany
tt0002445,movie,Quo Vadis?,Quo Vadis?,1913,120,"Drama,History",Italy
tt0002452,movie,The Independence of Romania,Independenta Romaniei,1912,120,"History,War",Romania
tt0002461,movie,The Life and Death of King Richard III,Richard III,1912,55,Drama,"France, USA"
tt0002646,movie,Atlantis,Atlantis,1913,121,Drama,Denmark
tt0002844,movie,Fantômas: In the Shadow of the Guillotine,Fantômas - À l'ombre de la guillotine,1913,54,"Crime,Drama",France
tt0003014,movie,Ingeborg Holm,Ingeborg Holm,1913,96,Drama,Sweden
tt0003037,movie,Fantomas: The Man in Black,Juve contre Fantômas,1913,61,"Crime,Drama",France
tt0003102,movie,Love Everlasting,Ma l'amor mio non muore...,1914,90,Drama,Italy
tt0003131,movie,War Is Hell,Maudite soit la guerre,1914,50,"Drama,War",Belgium
tt0003165,movie,Fantômas: The Dead Man Who Killed,Le mort qui tue,1913,90,"Crime,Drama,Mystery",France
tt0003167,movie,"Home, Sweet Home","Home, Sweet Home",1914,55,Drama,USA
tt0003419,movie,The Student of Prague,Der Student von Prag,1913,85,"Drama,Fantasy,Horror",Germany
tt0003471,movie,Traffic in Souls,Traffic in Souls,1913,88,"Crime,Drama",USA
tt0003489,movie,The Last Days of Pompeii,Gli ultimi giorni di Pompei,1913,88,"Adventure,Drama",Italy
tt0003637,movie,Assunta Spina,Assunta Spina,1915,72,Drama,Italy
tt0003643,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,"Crime,Drama,Horror",USA
tt0003657,movie,The Bargain,The Bargain,1914,70,Western,USA
tt0003740,movie,Cabiria,Cabiria,1914,148,"Adventure,Drama,History",Italy
tt0003772,movie,Cinderella,Cinderella,1914,52,"Drama,Fantasy",USA
tt0003883,movie,L'enfant de Paris,L'enfant de Paris,1913,124,"Crime,Drama",France
tt0003930,movie,Fantomas: The Mysterious Finger Print,Fantômas contre Fantômas,1914,59,"Crime,Drama",France
tt0003973,movie,A Florida Enchantment,A Florida Enchantment,1914,63,Comedy,USA
tt0004026,movie,The Golem,Der Golem,1915,60,Horror,Germany
tt0004066,movie,Sealed Orders,Det hemmelighedsfulde X,1914,84,"Drama,Mystery",Denmark
tt0004099,movie,The New Wizard of Oz,"His Majesty, the Scarecrow of Oz",1914,59,"Adventure,Comedy,Family",USA
tt0004134,movie,Hypocrites,Hypocrites,1915,54,"Drama,Fantasy",USA
tt0004150,movie,In the Land of the Head Hunters,In the Land of the Head Hunters,1914,65,"Drama,History","USA, Canada"
tt0004181,movie,Judith of Bethulia,Judith of Bethulia,1914,61,Drama,USA
tt0004457,movie,The Patchwork Girl of Oz,The Patchwork Girl of Oz,1914,81,"Adventure,Comedy,Family",USA
